txn_id,user_id,timestamp,amount,merchant,merchant_category,payment_method,device_fingerprint,ip_country,status
T0001,U001,2023-09-20 10:15:00,25.99,Spotify,streaming,visa_credit,DEV_001,US,approved
T0002,U001,2023-12-20 18:30:00,9.99,QuickStream Media,streaming,visa_credit,DEV_001,US,approved
T0003,U001,2024-03-22 11:40:00,65.00,Amazon,retail,visa_credit,DEV_001,US,approved
T0004,U002,2023-03-15 14:00:00,29.99,Netflix,streaming,visa_credit,DEV_002,US,approved
T0005,U002,2023-06-22 11:30:00,45.00,Amazon,retail,visa_credit,DEV_002,US,approved
T0006,U002,2023-09-18 16:45:00,32.50,Walmart,groceries,visa_credit,DEV_002,US,approved
T0007,U002,2023-12-04 09:20:00,29.99,Netflix,streaming,visa_credit,DEV_002,US,approved
T0008,U002,2024-02-12 13:15:00,52.00,Amazon,retail,visa_credit,DEV_002,US,approved
T0009,U002,2024-04-19 22:48:00,4500.00,Newegg,electronics,visa_credit,DEV_NEW2,US,approved
T0010,U003,2023-04-10 12:00:00,35.00,Tesco,groceries,visa_credit,DEV_003,UK,approved
T0011,U003,2024-01-05 19:30:00,80.00,Amazon,retail,visa_credit,DEV_003,UK,approved
T0012,U004,2023-05-18 14:25:00,45.00,Amazon,retail,visa_credit,DEV_004,CA,approved
T0013,U004,2023-11-22 10:15:00,9.99,QuickStream Media,streaming,visa_credit,DEV_004,CA,approved
T0014,U004,2024-03-30 16:50:00,55.00,Tim Hortons,groceries,visa_credit,DEV_004,CA,approved
T0015,U005,2023-07-22 11:00:00,28.00,Spotify,streaming,visa_credit,DEV_005,US,approved
T0016,U005,2024-02-15 14:30:00,72.00,BestBuy,electronics,visa_credit,DEV_005,US,approved
T0017,U006,2023-08-15 09:30:00,40.00,Amazon,retail,visa_credit,DEV_006,DE,approved
T0018,U006,2024-01-22 18:15:00,29.99,Netflix,streaming,visa_credit,DEV_006,DE,approved
T0019,U006,2024-04-10 12:45:00,55.00,Lidl,groceries,visa_credit,DEV_006,DE,approved
T0020,U007,2023-09-05 13:20:00,35.00,Amazon,retail,visa_credit,DEV_007,US,approved
T0021,U007,2024-01-18 19:40:00,9.99,QuickStream Media,streaming,visa_credit,DEV_007,US,approved
T0022,U007,2024-04-08 14:00:00,48.00,Walmart,groceries,visa_credit,DEV_007,US,approved
T0023,U008,2023-09-10 10:00:00,42.00,Amazon,retail,visa_credit,DEV_008,FR,approved
T0024,U008,2024-03-15 16:30:00,29.99,Netflix,streaming,visa_credit,DEV_008,FR,approved
T0025,U009,2023-10-15 14:30:00,45.00,Amazon,retail,visa_credit,DEV_009,US,approved
T0026,U009,2023-12-22 18:00:00,120.00,BestBuy,electronics,visa_credit,DEV_009,US,approved
T0027,U009,2024-02-08 09:15:00,80.00,Walmart,groceries,visa_credit,DEV_009,US,approved
T0028,U009,2024-04-10 03:22:00,850.00,GiftCardKing,gift_cards,visa_credit,DEV_NEW9,RU,approved
T0029,U009,2024-04-12 04:48:00,1200.00,Newegg,electronics,visa_credit,DEV_NEW9,NG,approved
T0030,U009,2024-04-13 02:15:00,980.00,GiftCardKing,gift_cards,visa_credit,DEV_NEW9,RU,approved
T0031,U009,2024-04-14 03:55:00,50.00,Spotify,streaming,visa_credit,DEV_NEW9,RU,declined
T0032,U010,2023-10-20 14:00:00,40.00,Amazon,retail,visa_credit,DEV_010,UK,approved
T0033,U010,2024-02-10 19:30:00,9.99,QuickStream Media,streaming,visa_credit,DEV_010,UK,approved
T0034,U010,2024-04-12 11:25:00,65.00,Tesco,groceries,visa_credit,DEV_010,UK,approved
T0035,U011,2023-12-08 13:40:00,38.00,Amazon,retail,visa_credit,DEV_011,US,approved
T0036,U011,2024-04-01 09:50:00,75.00,BestBuy,electronics,visa_credit,DEV_011,US,approved
T0037,U012,2024-01-15 14:25:00,28.99,Spotify,streaming,visa_credit,DEV_012,US,approved
T0038,U012,2024-04-05 18:10:00,52.00,Walmart,groceries,visa_credit,DEV_012,US,approved
T0039,U013,2024-02-05 10:00:00,45.00,Amazon,retail,visa_credit,DEV_013,DE,approved
T0040,U013,2024-04-15 16:30:00,29.99,Netflix,streaming,visa_credit,DEV_013,DE,approved
